Iterasi KE - 0 | Cost : 0.04312436011145104
Iterasi KE - 1 | Cost : 0.0431028058640655
Iterasi KE - 2 | Cost : 0.04308085103288634
Iterasi KE - 3 | Cost : 0.04305848844893808
Iterasi KE - 4 | Cost : 0.043035710823684084
Iterasi KE - 5 | Cost : 0.04301251074740361
Iterasi KE - 6 | Cost : 0.04298888068756914
Iterasi KE - 7 | Cost : 0.0429648129872117
Iterasi KE - 8 | Cost : 0.04294029986328154
Iterasi KE - 9 | Cost : 0.04291533340501585
Iterasi KE - 10 | Cost : 0.042889905572292636
Iterasi KE - 11 | Cost : 0.0428640081939876
Iterasi KE - 12 | Cost : 0.04283763296633378
Iterasi KE - 13 | Cost : 0.04281077145128549
Iterasi KE - 14 | Cost : 0.04278341507486785
Iterasi KE - 15 | Cost : 0.042755555125557926
Iterasi KE - 16 | Cost : 0.042727182752644706
Iterasi KE - 17 | Cost : 0.042698288964614015
Iterasi KE - 18 | Cost : 0.04266886462753706
Iterasi KE - 19 | Cost : 0.04263890046345759
Iterasi KE - 20 | Cost : 0.04260838704881606
Iterasi KE - 21 | Cost : 0.042577314812861346
Iterasi KE - 22 | Cost : 0.04254567403609508
Iterasi KE - 23 | Cost : 0.04251345484873237
Iterasi KE - 24 | Cost : 0.042480647229170054
Iterasi KE - 25 | Cost : 0.042447241002495646
Iterasi KE - 26 | Cost : 0.042413225839006315
Iterasi KE - 27 | Cost : 0.042378591252763435
Iterasi KE - 28 | Cost : 0.04234332660017284
Iterasi KE - 29 | Cost : 0.04230742107860543
Iterasi KE - 30 | Cost : 0.04227086372503369
Iterasi KE - 31 | Cost : 0.04223364341474032
Iterasi KE - 32 | Cost : 0.04219574886002973
Iterasi KE - 33 | Cost : 0.04215716860902211
Iterasi KE - 34 | Cost : 0.04211789104446437
Iterasi KE - 35 | Cost : 0.042077904382615355
Iterasi KE - 36 | Cost : 0.04203719667218277
Iterasi KE - 37 | Cost : 0.04199575579330837
Iterasi KE - 38 | Cost : 0.041953569456637994
Iterasi KE - 39 | Cost : 0.041910625202444665
Iterasi KE - 40 | Cost : 0.04186691039983215
Iterasi KE - 41 | Cost : 0.041822412246018355
Iterasi KE - 42 | Cost : 0.04177711776569559
Iterasi KE - 43 | Cost : 0.0417310138104935
Iterasi KE - 44 | Cost : 0.041684087058523396
Iterasi KE - 45 | Cost : 0.04163632401402724
Iterasi KE - 46 | Cost : 0.041587711007136485
Iterasi KE - 47 | Cost : 0.041538234193744625
Iterasi KE - 48 | Cost : 0.041487879555493594
Iterasi KE - 49 | Cost : 0.041436632899890344
Iterasi KE - 50 | Cost : 0.04138447986056234
Iterasi KE - 51 | Cost : 0.0413314058976467
Iterasi KE - 52 | Cost : 0.04127739629832907
Iterasi KE - 53 | Cost : 0.04122243617755499
Iterasi KE - 54 | Cost : 0.0411665104788891
Iterasi KE - 55 | Cost : 0.04110960397555632
Iterasi KE - 56 | Cost : 0.041051701271678995
Iterasi KE - 57 | Cost : 0.040992786803691346
Iterasi KE - 58 | Cost : 0.04093284484197436
Iterasi KE - 59 | Cost : 0.04087185949269813
Iterasi KE - 60 | Cost : 0.040809814699896564
Iterasi KE - 61 | Cost : 0.04074669424777857
Iterasi KE - 62 | Cost : 0.040682481763288814
Iterasi KE - 63 | Cost : 0.04061716071894155
